Flag,Device,Mastering Type,Map,Notes
,10025-T48,simple,CAMPO LIMPO,
,10025-T48,simple,CAMPO LIMPO,
,10025-T74_9,simple,SERRA NEGRA,
,10025-T18_2,simple,CAMPO LIMPO,
,10025-T18_2,simple,CAMPO LIMPO,
,10025-T18_3,simple,CAMPO LIMPO,
,10.200.15.26,simple,PLA/OLHD/LAGOA,
,10.200.15.74,simple,PLA/OLHD/LAGOA,
,10.200.15.74,simple,PLA/OLHD/LAGOA,
,10.200.15.75,simple,PLA/OLHD/LAGOA,
,10025_T45,simple,APERAN,
,AP AP06,simple,APERAN,
,APR-APR11 ST,simple,APERAN,
,10.100.15.52,simple,CAPELINHA,
,,simple,CAPELINHA,
,10.150.0.10,simple,CAPELINHA,
,10.150.0.10,simple,CAPELINHA,
,10.150.0.4,simple,CAPELINHA,
,10025-T116,simple,CARBONITA,
,10025-T116,simple,CARBONITA,
,10025-T55,simple,CARBONITA,
,10025-T55,simple,CARBONITA,
,10.150.0.22,simple,APERAN,
,10025-T74_12(CORE),simple,SERRA NEGRA,
,10.1.15.36(NE),simple,BACBONE,
,10.200.206.186(SW-CB),simple,BACBONE,
,10.100.15.37(T81),simple,BACBONE,
,10.100.15.36(T74),simple,BACBONE,
,10.100.15.43(T35),simple,BACBONE,
,10.100.15.40(T35),simple,BACBONE,
,10.1.5.37(T13),simple,BACBONE,
,10.1.15.38(127),simple,BACBONE,
,10.1.15.38(127),simple,BACBONE,
,10.1.15.36(NE),simple,BACBONE,
,10.255.255.4(T45),simple,BACBONE,
,10.100.15.38(T26),simple,BACBONE,
,10.1.15.39(T74),simple,BACBONE,
,10.1.15.39(T74),simple,BACBONE,
,10.255.255.4(T45),simple,BACBONE,
,10.200.15.130(T45),simple,BACBONE,
,10.1.15.48(T22),simple,BACBONE,
,,simple,BACBONE,
,10.1.15.52(T19),simple,BACBONE,
,10025-T84_1,simple,BACBONE,
,10.100.15.55(T74),simple,BACBONE,
,10.1.15.55,simple,BACBONE,
,10025-T28_4,simple,CARBONITA,
,10025-T28_7,simple,CARBONITA,
,10025-T73,simple,PLA/OLHD/LAGOA,
,10025-T35,simple,ITAMARANDIBA,
,10025-T44,simple,CAMPO LIMPO,
,10025-T56,simple,PLA/OLHD/LAGOA,
,10025-T56,simple,PLA/OLHD/LAGOA,
,10025-T28_2,simple,CARBONITA,
,10025-T28_2,simple,CARBONITA,
,10.200.15.134,simple,CAPELINHA,
,10.200.15.134,simple,CAPELINHA,
,10025-117_1,simple,CAMPO LIMPO,
,10025-T128,simple,CARBONITA,
,10025-T128,simple,CARBONITA,
,10025-T114,simple,CARBONITA,
,10025-T114_1,simple,CARBONITA,
,10025-T114_2,simple,CARBONITA,
,10025-T16_4,simple,CAMPO LIMPO,
,REPETIDORA VANIA,simple,CAMPO LIMPO,
,AP-SANDRA,simple,CAMPO LIMPO,
,10025-T21,simple,CAMPO LIMPO,
,10025-T47,simple,CAMPO LIMPO,
,10025-T47,simple,CAMPO LIMPO,
,10.201.11.6,simple,CAMPO LIMPO,
,10.201.11.6,simple,CAMPO LIMPO,
,10025-T39,simple,CAMPO LIMPO,
,BERENICE ROCA,simple,CAMPO LIMPO,
,10.255.255.4(T45),simple,BACBONE,
,10025-T23,simple,CAMPO LIMPO,
,10.100.15.52,simple,MENDONCA,
,TORRE DA MADEIREIRA CAPELINHA,simple,MENDONCA,
,10.100.15.131,simple,MENDONCA,
,10.100.15.131,simple,MENDONCA,
,10.0.60.10,simple,BACBONE,
,CAMERA 6,simple,APERAN,
,CAMERA 5,simple,APERAN,
,10.150.0.22,simple,APERAN,
,10025-T52_2,simple,CARBONITA,
,10025-T54,simple,CARBONITA,
,10025-T54,simple,CARBONITA,
,10025-T2_2,simple,PLA/OLHD/LAGOA,
,10025-T113,simple,CARBONITA,
,10025_T81_1,simple,ITAMARANDIBA,
,CONCENTRADOR MENDONÇA,simple,MENDONCA,
,10025-T76,simple,SERRA NEGRA,
,10025-T79 NIC,simple,SERRA NEGRA,
